shape,Metadata Item,sidecar,Protocol Tier,Analysis Tier,Analyte-Specific,TAPP Schema Path,verdict,$Dataset counterpart,note
$MethodDefinition.ada:*,3D Image Registration,SEM_FIBSEM_TAPP_v4,Basic,Editable,,$MethodDefinition.ada:imageRegistration3D,$MethodDefinition.ada:imageRegistration3DDefault,$Dataset.prov:wasGeneratedBy.ada:imageRegistration3D,
$MethodDefinition.ada:*,3D Segmentation Method,SEM_FIBSEM_TAPP_v4,Basic,Editable,,$MethodDefinition.ada:segmentationMethod3D,$MethodDefinition.ada:segmentationMethod3DDefault,$Dataset.prov:wasGeneratedBy.ada:segmentationMethod3D,
$MethodDefinition.ada:*,Ablation Duration per Spot,LA-ICPMS_Geochron_Horstwood_TAPP_v6,Basic,Editable,,$MethodDefinition.ada:ablationSpotDuration,$MethodDefinition.ada:ablationSpotDurationDefault,$Dataset.prov:wasGeneratedBy.ada:ablationSpotDuration,
$MethodDefinition.ada:*,Ablation Duration per Spot,LA-Q_SF-ICPMS_TAPP_v3,Basic,Editable,,$MethodDefinition.ada:ablationSpotDuration,$MethodDefinition.ada:ablationSpotDurationDefault,$Dataset.prov:wasGeneratedBy.ada:ablationSpotDuration,
$MethodDefinition.ada:*,Analysis Sequence,LA-ICPMS_Geochron_Horstwood_TAPP_v6,Advanced,Editable,,$MethodDefinition.ada:analysisSequence,$MethodDefinition.schema:additionalProperty[schema:name='Analysis Sequence'].schema:defaultValue,$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Plasma Make up Gas Addition'].schema:value,
$MethodDefinition.ada:*,Analysis Sequence,LA-Q_SF-ICPMS_TAPP_v3,Basic,Editable,,$MethodDefinition.ada:analysisSequence,$MethodDefinition.ada:analysisSequenceDefault,$Dataset.prov:wasGeneratedBy.ada:analysisSequence,
$MethodDefinition.ada:*,CL Integration Time,SEM_Imaging_TAPP_v4,Basic,Editable,,$MethodDefinition.ada:clIntegrationTime,$MethodDefinition.ada:clIntegrationTimeDefault,$Dataset.prov:wasGeneratedBy.ada:clIntegrationTime,
$MethodDefinition.ada:*,Carrier Gas and Flow Rate,LA-ICPMS_Geochron_Horstwood_TAPP_v6,Basic,Editable,,$MethodDefinition.ada:carrierGasFlowRate,$MethodDefinition.ada:carrierGasFlowRateDefault,$Dataset.prov:wasGeneratedBy.ada:carrierGasFlowRate,
$MethodDefinition.ada:*,Carrier Gas and Flow Rate,LA-Q_SF-ICPMS_TAPP_v3,Basic,Editable,,$MethodDefinition.ada:carrierGasFlowRate,$MethodDefinition.ada:carrierGasFlowRateDefault,$Dataset.prov:wasGeneratedBy.ada:carrierGasFlowRate,
$MethodDefinition.ada:*,Constants and Reference Values Used,LA-ICPMS_Geochron_Horstwood_TAPP_v6,Basic,Editable,,$MethodDefinition.ada:constantsAndReferenceValuesUsed,$MethodDefinition.schema:actionProcess.schema:step[schema:name='dataReduction'].schema:additionalProperty[schema:name='Constants Reference Values'].schema:defaultValue,$Dataset.prov:wasGeneratedBy.schema:actionProcess.schema:step[schema:name='dataReduction'].schema:additionalProperty[schema:name='Constants Reference Values'].schema:value,
$MethodDefinition.ada:*,Crystal Structure Database,SEM_Imaging_TAPP_v4,Basic,Editable,,$MethodDefinition.ada:crystalStructureDatabase,$MethodDefinition.schema:actionProcess.schema:step[schema:name='dataReduction'].schema:additionalProperty[schema:name='Crystal Structure Database'].schema:defaultValue,$Dataset.prov:wasGeneratedBy.schema:actionProcess.schema:step[schema:name='dataReduction'].schema:additionalProperty[schema:name='Crystal Structure Database'].schema:value,
$MethodDefinition.ada:*,EDS Live Time per Point or Pixel,EPMA_TAPP_v7,Basic,Editable,,$MethodDefinition.ada:edsLiveTimePerPointOrPixel,$MethodDefinition.ada:edsLiveTimePerPointOrPixelDefault,$Dataset.prov:wasGeneratedBy.ada:edsLiveTimePerPointOrPixel,
$MethodDefinition.ada:*,EDS Live Time per Point or Pixel,SEM_Composition_TAPP_v4,Basic,Editable,,$MethodDefinition.ada:edsLiveTimePerPointOrPixel,$MethodDefinition.ada:edsLiveTimePerPointOrPixelDefault,$Dataset.prov:wasGeneratedBy.ada:edsLiveTimePerPointOrPixel,
$MethodDefinition.ada:*,Exposure Time per Projection,Lab-XCT_TAPP_v8,Basic,Editable,,$MethodDefinition.ada:exposureTimePerProjection,$MethodDefinition.ada:exposureTimePerProjectionDefault,$Dataset.prov:wasGeneratedBy.ada:exposureTimePerProjection,
$MethodDefinition.ada:*,Flat Field Correction,Lab-XCT_TAPP_v8,Basic,Editable,,$MethodDefinition.ada:flatFieldCorrection,$MethodDefinition.schema:actionProcess.schema:step[schema:name='dataReduction'].schema:additionalProperty[schema:name='Flat Field Correction'].schema:defaultValue,$Dataset.prov:wasGeneratedBy.schema:actionProcess.schema:step[schema:name='dataReduction'].schema:additionalProperty[schema:name='Flat Field Correction'].schema:value,
$MethodDefinition.ada:*,Integration Time per Peak/Dwell Times; Quadrupole Settling Time Between Mass Jumps,LA-ICPMS_Geochron_Horstwood_TAPP_v6,Basic,Editable,,$MethodDefinition.ada:integrationTimePerPeakDwellTimesQuadrupoleSettlingTimeBetweenMassJumps,$MethodDefinition.ada:dwellTimesDefault,$Dataset.prov:wasGeneratedBy.ada:dwellTimes,
$MethodDefinition.ada:*,Masses Measured,LA-ICPMS_Geochron_Horstwood_TAPP_v6,Basic,Editable,,$MethodDefinition.ada:massesMeasured,$MethodDefinition.ada:massesMeasuredDefault,$Dataset.prov:wasGeneratedBy.ada:massesMeasured,
$MethodDefinition.ada:*,Number of Projections,Lab-XCT_TAPP_v8,Basic,Editable,,$MethodDefinition.ada:numberOfProjections,$MethodDefinition.ada:numberOfProjectionsDefault,$Dataset.prov:wasGeneratedBy.ada:numberOfProjections,
$MethodDefinition.ada:*,Output Data Format,Lab-XCT_TAPP_v8,Basic,Editable,,$MethodDefinition.ada:outputDataFormat,$MethodDefinition.ada:outputDataFormatDefault,$Dataset.schema:distribution.schema:encodingFormat,
$MethodDefinition.ada:*,Primary Calibration Standard Name,LA-ICPMS_Geochron_Horstwood_TAPP_v6,Basic,Editable,,$MethodDefinition.ada:primaryStandardName,$MethodDefinition.ada:primaryStandardNameDefault,$Dataset.prov:wasGeneratedBy.prov:used.bios:reagent[ada:reagentRole='primaryStandard'].schema:name,
$MethodDefinition.ada:*,Primary Calibration Standard Name,LA-Q_SF-ICPMS_TAPP_v3,Basic,Editable,,$MethodDefinition.ada:primaryStandardName,$MethodDefinition.ada:primaryStandardNameDefault,$Dataset.prov:wasGeneratedBy.prov:used.bios:reagent[ada:reagentRole='primaryStandard'].schema:name,
$MethodDefinition.ada:*,Primary Calibration Standard Name,Solution_Q-ICP-MS_TAPP_v5,Basic,Editable,,$MethodDefinition.ada:primaryStandardName,$MethodDefinition.ada:primaryStandardNameDefault,$Dataset.prov:wasGeneratedBy.prov:used.bios:reagent[ada:reagentRole='primaryStandard'].schema:name,
$MethodDefinition.ada:*,Primary Calibration Standard Name,Solution_SF-ICP-MS_TAPP_v5,Basic,Editable,,$MethodDefinition.ada:primaryStandardName,$MethodDefinition.ada:primaryStandardNameDefault,$Dataset.prov:wasGeneratedBy.prov:used.bios:reagent[ada:reagentRole='primaryStandard'].schema:name,
$MethodDefinition.ada:*,RF Power (W),LA-ICPMS_Geochron_Horstwood_TAPP_v6,Basic,Editable,,$MethodDefinition.ada:rfPower,$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='ICP Source'].schema:additionalProperty[schema:name='RF Power'].schema:defaultValue,$Dataset.prov:wasGeneratedBy.prov:used.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='ICP Source'].schema:additionalProperty[schema:name='RF Power'].schema:value,
$MethodDefinition.ada:*,Raster Line Spacing (Mapping Only),LA-Q_SF-ICPMS_TAPP_v3,Basic,Editable,,$MethodDefinition.ada:rasterLineSpacing,$MethodDefinition.ada:rasterLineSpacingDefault,$Dataset.prov:wasGeneratedBy.ada:rasterLineSpacing,
$MethodDefinition.ada:*,Reconstruction Software,Lab-XCT_TAPP_v8,Basic,Editable,,$MethodDefinition.ada:reconstructionSoftware,$MethodDefinition.bios:computationalTool[ada:toolRole='dataReduction'].schema:name,$Dataset.prov:wasGeneratedBy.prov:used.bios:computationalTool[ada:toolRole='dataReduction'].schema:name,
$MethodDefinition.ada:*,Rotation Mode,Lab-XCT_TAPP_v8,Basic,Editable,,$MethodDefinition.ada:rotationMode,$MethodDefinition.ada:rotationModeDefault,$Dataset.prov:wasGeneratedBy.ada:rotationMode,
$MethodDefinition.ada:*,Rotation Range,Lab-XCT_TAPP_v8,Basic,Editable,,$MethodDefinition.ada:rotationRange,$MethodDefinition.ada:rotationRangeDefault,$Dataset.prov:wasGeneratedBy.ada:rotationRange,
$MethodDefinition.ada:*,Segmentation Method,Lab-XCT_TAPP_v8,Basic,Editable,,$MethodDefinition.ada:segmentationMethod,$MethodDefinition.ada:segmentationMethodDefault,$Dataset.prov:wasGeneratedBy.ada:segmentationMethod,
$MethodDefinition.ada:*,Segmentation and Analysis Software,Lab-XCT_TAPP_v8,Basic,Editable,,$MethodDefinition.ada:segmentationAndAnalysisSoftware,$MethodDefinition.bios:computationalTool[ada:toolRole='dataReduction'].schema:name,$Dataset.prov:wasGeneratedBy.prov:used.bios:computationalTool[ada:toolRole='dataReduction'].schema:name,
$MethodDefinition.ada:*,Spot Diameter,LA-ICPMS_Geochron_Horstwood_TAPP_v6,Basic,Editable,,$MethodDefinition.ada:spotDiameter,$MethodDefinition.ada:spotDiameterDefault,$Dataset.prov:wasGeneratedBy.ada:spotDiameter,
$MethodDefinition.ada:*,Sub-volume Stitching and Registration Method,Lab-XCT_TAPP_v8,Basic,Editable,,$MethodDefinition.ada:subVolumeStitchingAndRegistrationMethod,$MethodDefinition.schema:actionProcess.schema:step[schema:name='dataReduction'].schema:additionalProperty[schema:name='Volume Stitching And Registration'].schema:defaultValue,$Dataset.prov:wasGeneratedBy.schema:actionProcess.schema:step[schema:name='dataReduction'].schema:additionalProperty[schema:name='Volume Stitching And Registration'].schema:value,
$MethodDefinition.ada:*,Total Integration Time per Output Data Point (s),LA-ICPMS_Geochron_Horstwood_TAPP_v6,Basic,Editable,,$MethodDefinition.ada:totalIntegrationTimePerOutputDataPoint,$MethodDefinition.ada:totalIntegrationTimePerOutputDataPointDefault,$Dataset.prov:wasGeneratedBy.ada:totalIntegrationTimePerOutputDataPoint,
$MethodDefinition.ada:*,Tube Current,Lab-XCT_TAPP_v8,Basic,Editable,,$MethodDefinition.ada:tubeCurrent,$MethodDefinition.schema:instrument[schema:additionalType='XCT'].ada:tubeCurrentDefault,$Dataset.prov:wasGeneratedBy.prov:used.schema:instrument[schema:additionalType='XCT'].ada:tubeCurrent,
$MethodDefinition.ada:*,Voxel Size,Lab-XCT_TAPP_v8,Basic,Editable,,$MethodDefinition.ada:voxelSize,$MethodDefinition.schema:instrument[schema:additionalType='XCT'].ada:voxelSizeDefault,$Dataset.prov:wasGeneratedBy.prov:used.schema:instrument[schema:additionalType='XCT'].ada:voxelSize,
$MethodDefinition.ada:*,X-ray Pre-filter,Lab-XCT_TAPP_v8,Basic,Editable,,$MethodDefinition.ada:xRayPreFilter,$MethodDefinition.schema:instrument[schema:additionalType='XCT'].ada:xRayPreFilterDefault,$Dataset.prov:wasGeneratedBy.prov:used.schema:instrument[schema:additionalType='XCT'].ada:xRayPreFilter,
$MethodDefinition.ada:*[],Background Count Time,LA-Q_SF-ICPMS_TAPP_v3,Basic,Editable,,$MethodDefinition.ada:backgroundCountTime,$MethodDefinition.ada:backgroundCountTimeDefault,$Dataset.prov:wasGeneratedBy.ada:backgroundCountTime,
$MethodDefinition.ada:*[],Secondary Reference Materials,LA-ICPMS_Geochron_Horstwood_TAPP_v6,Basic,Editable,,$MethodDefinition.ada:secondaryReferenceMaterial[],$MethodDefinition.ada:secondaryReferenceMaterialDefault[],$Dataset.prov:wasGeneratedBy.prov:used.bios:reagent[ada:reagentRole='secondaryReferenceMaterial'].schema:name,
$MethodDefinition.ada:*[],Secondary Reference Materials,LA-Q_SF-ICPMS_TAPP_v3,Basic,Editable,,$MethodDefinition.ada:secondaryReferenceMaterial[],$MethodDefinition.ada:secondaryReferenceMaterialDefault[],$Dataset.prov:wasGeneratedBy.prov:used.bios:reagent[ada:reagentRole='secondaryReferenceMaterial'].schema:name,
$MethodDefinition.ada:*[],Secondary Reference Materials,Solution_Q-ICP-MS_TAPP_v5,Basic,Editable,,$MethodDefinition.ada:secondaryReferenceMaterial[],$MethodDefinition.ada:secondaryReferenceMaterialDefault[],$Dataset.prov:wasGeneratedBy.prov:used.bios:reagent[ada:reagentRole='secondaryReferenceMaterial'].schema:name,
$MethodDefinition.ada:*[],Secondary Reference Materials,Solution_SF-ICP-MS_TAPP_v5,Basic,Editable,,$MethodDefinition.ada:secondaryReferenceMaterial[],$MethodDefinition.ada:secondaryReferenceMaterialDefault[],$Dataset.prov:wasGeneratedBy.prov:used.bios:reagent[ada:reagentRole='secondaryReferenceMaterial'].schema:name,
$MethodDefinition.bios:computationalTool[ada:*='…'].schema:name,Acquisition Software,EPMA_TAPP_v7,Basic,Editable,,$MethodDefinition.bios:computationalTool[ada:toolRole='acquisition'].schema:name,$MethodDefinition.bios:computationalTool[ada:toolRole='acquisition'].schema:name,$Dataset.prov:wasGeneratedBy.prov:used.bios:computationalTool[ada:toolRole='acquisition'].schema:name,value in detail overrides value in $MethodDefinition
$MethodDefinition.bios:computationalTool[ada:*='…'].schema:name,Acquisition Software,LA-ICPMS_Geochron_Horstwood_TAPP_v6,Basic,Editable,,$MethodDefinition.bios:computationalTool[ada:toolRole='acquisition'].schema:name,$MethodDefinition.bios:computationalTool[ada:toolRole='acquisition'].schema:name,$Dataset.prov:wasGeneratedBy.prov:used.bios:computationalTool[ada:toolRole='acquisition'].schema:name,value in detail overrides value in $MethodDefinition
$MethodDefinition.bios:computationalTool[ada:*='…'].schema:name,Acquisition Software,LA-Q_SF-ICPMS_TAPP_v3,Basic,Editable,,$MethodDefinition.bios:computationalTool[ada:toolRole='acquisition'].schema:name,$MethodDefinition.bios:computationalTool[ada:toolRole='acquisition'].schema:name,$Dataset.prov:wasGeneratedBy.prov:used.bios:computationalTool[ada:toolRole='acquisition'].schema:name,value in detail overrides value in $MethodDefinition
$MethodDefinition.bios:computationalTool[ada:*='…'].schema:name,Acquisition Software,Lab-XCT_TAPP_v8,Basic,Editable,,$MethodDefinition.bios:computationalTool[ada:toolRole='acquisition'].schema:name,$MethodDefinition.bios:computationalTool[ada:toolRole='acquisition'].schema:name,$Dataset.prov:wasGeneratedBy.prov:used.bios:computationalTool[ada:toolRole='acquisition'].schema:name,value in detail overrides value in $MethodDefinition
$MethodDefinition.bios:computationalTool[ada:*='…'].schema:name,Acquisition Software,SEM_Composition_TAPP_v4,Basic,Editable,,$MethodDefinition.bios:computationalTool[ada:toolRole='acquisition'].schema:name,$MethodDefinition.bios:computationalTool[ada:toolRole='acquisition'].schema:name,$Dataset.prov:wasGeneratedBy.prov:used.bios:computationalTool[ada:toolRole='acquisition'].schema:name,value in detail overrides value in $MethodDefinition
$MethodDefinition.bios:computationalTool[ada:*='…'].schema:name,Acquisition Software,SEM_FIBSEM_TAPP_v4,Basic,Editable,,$MethodDefinition.bios:computationalTool[ada:toolRole='acquisition'].schema:name,$MethodDefinition.bios:computationalTool[ada:toolRole='acquisition'].schema:name,$Dataset.prov:wasGeneratedBy.prov:used.bios:computationalTool[ada:toolRole='acquisition'].schema:name,value in detail overrides value in $MethodDefinition
$MethodDefinition.bios:computationalTool[ada:*='…'].schema:name,Acquisition Software,SEM_Imaging_TAPP_v4,Basic,Editable,,$MethodDefinition.bios:computationalTool[ada:toolRole='acquisition'].schema:name,$MethodDefinition.bios:computationalTool[ada:toolRole='acquisition'].schema:name,$Dataset.prov:wasGeneratedBy.prov:used.bios:computationalTool[ada:toolRole='acquisition'].schema:name,value in detail overrides value in $MethodDefinition
$MethodDefinition.bios:computationalTool[ada:*='…'].schema:name,Acquisition Software,Solution_Q-ICP-MS_TAPP_v5,Basic,Editable,,$MethodDefinition.bios:computationalTool[ada:toolRole='acquisition'].schema:name,$MethodDefinition.bios:computationalTool[ada:toolRole='acquisition'].schema:name,$Dataset.prov:wasGeneratedBy.prov:used.bios:computationalTool[ada:toolRole='acquisition'].schema:name,value in detail overrides value in $MethodDefinition
$MethodDefinition.bios:computationalTool[ada:*='…'].schema:name,Acquisition Software,Solution_SF-ICP-MS_TAPP_v5,Basic,Editable,,$MethodDefinition.bios:computationalTool[ada:toolRole='acquisition'].schema:name,$MethodDefinition.bios:computationalTool[ada:toolRole='acquisition'].schema:name,$Dataset.prov:wasGeneratedBy.prov:used.bios:computationalTool[ada:toolRole='acquisition'].schema:name,value in detail overrides value in $MethodDefinition
$MethodDefinition.bios:computationalTool[ada:*='…'].schema:name,Data Reduction Software,EPMA_TAPP_v7,Basic,Editable,,$MethodDefinition.bios:computationalTool[ada:toolRole='dataReduction'].schema:name,$MethodDefinition.bios:computationalTool[ada:toolRole='dataReduction'].schema:name,$Dataset.prov:wasGeneratedBy.prov:used.bios:computationalTool[ada:toolRole='dataReduction'].schema:name,value in detail overrides value in $MethodDefinition
$MethodDefinition.bios:computationalTool[ada:*='…'].schema:name,Data Reduction Software,LA-ICPMS_Geochron_Horstwood_TAPP_v6,Basic,Editable,,$MethodDefinition.bios:computationalTool[ada:toolRole='dataReduction'].schema:name,$MethodDefinition.bios:computationalTool[ada:toolRole='dataReduction'].schema:name,$Dataset.prov:wasGeneratedBy.prov:used.bios:computationalTool[ada:toolRole='dataReduction'].schema:name,value in detail overrides value in $MethodDefinition
